id,reference,color,country,region,appellation,vintage,grapes,alcohol_percent,bottle_size_l,sweetness,tannin,acidity,rating,price_eur,producer,stock_quantity
37,WN-2009-PIE-0037-HR0,orange,Italy,Piedmont,Barolo,2009,"Pinot Noir, Riesling",12.2,1.5,dry,3,1,94.9,95.33,Domaine Thierry,49
38,WN-1998-TUS-0038-7W1,white,Italy,Tuscany,Brunello di Montalcino,1998,Sangiovese,11.9,0.375,sweet,5,2,85.5,97.56,Cantina Leroux,178
39,WN-2010-BUR-0039-WBF,orange,France,Burgundy,Cote de Beaune,2010,"Chenin Blanc, Rkatsiteli",11.9,0.375,off-dry,4,1,96.4,43.07,Chateau Rocher,147
40,WN-1987-TUS-0040-WV0,white,Italy,Tuscany,Brunello di Montalcino,1987,"Nebbiolo, Zinfandel, Semillon",14.9,0.75,off-dry,4,3,97.2,99.05,Cantina Briand,145
41,WN-1990-KAK-0041-KK4,white,Georgia,Kakheti,Kakheti PDO,1990,Albarino,13.8,0.375,dry,4,4,93.8,49.64,Maison Leblanc,59
42,WN-2007-KAK-0042-EYZ,red,Georgia,Kakheti,Kakheti PDO,2007,Cabernet Sauvignon,12.1,0.375,off-dry,2,1,81.2,80.3,Cantina Lopes,112
43,WN-2018-RIB-0043-YJB,white,Spain,Ribera del Duero,Ribera del Duero DO,2018,Nebbiolo,14.7,1.5,off-dry,1,1,84.6,69.06,Maison Meyer,195
44,WN-1997-RIA-0044-FOR,orange,Spain,Rias Baixas,Rias Baixas DO,1997,Muscadet,13.2,0.75,dry,4,3,88.2,35.5,Chateau Fabre,219
45,WN-2009-RIA-0045-GN1,orange,Spain,Rias Baixas,Rias Baixas DO,2009,Rkatsiteli,12.3,0.375,off-dry,5,1,93.2,56.55,Estate Ledoux,13
46,WN-1997-RIO-0046-AOI,white,Spain,Rioja,Rioja DOCa,1997,"Tempranillo, Pinot Noir, Chenin Blanc",15.4,0.75,dry,1,5,96.0,72.43,Cantina Marques,141
47,WN-2011-RIO-0047-C14,red,Spain,Rioja,Rioja DOCa,2011,"Pinot Noir, Sauvignon Blanc, Riesling",13.1,0.75,off-dry,2,4,91.0,41.44,Domaine Henry,221
48,WN-1999-TUS-0048-GZU,white,Italy,Tuscany,Chianti Classico,1999,"Muscadet, Gewurztraminer, Tempranillo",13.2,0.75,off-dry,3,5,95.3,40.83,Winery Morin,222
49,WN-2010-RIO-0049-SQ0,red,Spain,Rioja,Rioja DOCa,2010,"Syrah, Malbec, Tempranillo",13.5,0.375,dry,5,5,86.6,14.53,Marani Gillet,25
50,WN-1996-KAK-0050-TWI,orange,Georgia,Kakheti,Kakheti PDO,1996,"Zinfandel, Syrah",14.2,0.75,sweet,5,4,99.1,64.55,Marani Pereira,223
51,WN-2007-SIC-0051-MPI,red,Italy,Sicily,Etna,2007,Malbec,14.5,0.375,off-dry,2,3,98.1,9.37,Maison Pelletier,75
52,WN-1985-KAK-0052-26Y,white,Georgia,Kakheti,Kakheti PDO,1985,"Syrah, Zinfandel, Semillon",13.5,1.5,dry,2,4,92.8,48.66,Maison Barre,230
53,WN-2017-LAN-0053-MKZ,white,France,Languedoc,Minervois,2017,"Malbec, Nebbiolo",14.5,0.75,off-dry,2,4,97.1,15.13,Estate Texier,146
54,WN-2016-RIB-0054-11Y,white,Spain,Ribera del Duero,Ribera del Duero DO,2016,"Grenache, Zinfandel, Gewurztraminer",15.2,0.75,dry,5,3,84.4,23.06,Cantina Aubry,173
55,WN-2008-RHO-0055-T8T,red,France,Rhone,Cote-Rotie,2008,Muscadet,12.8,0.375,dry,3,3,94.9,21.69,Domaine Bertrand,201
56,WN-1998-KAK-0056-TQY,orange,Georgia,Kakheti,Kakheti PDO,1998,"Rkatsiteli, Pinot Gris, Chenin Blanc",15.8,0.375,dry,4,5,87.3,80.11,Maison Chauveau,67
57,WN-2003-VEN-0057-ZXE,white,Italy,Veneto,Soave,2003,Semillon,13.4,1.5,sweet,3,5,84.4,11.01,Marani Jacques,232
58,WN-1987-PRO-0058-0FO,white,France,Provence,Cotes de Provence,1987,Semillon,15.4,0.375,off-dry,4,3,93.4,75.6,Estate Regnier,150
59,WN-1997-RIA-0059-OGE,red,Spain,Rias Baixas,Rias Baixas DO,1997,Sangiovese,12.1,0.75,dry,3,1,99.6,39.9,Winery Denis,15
60,WN-1983-ALS-0060-12V,red,France,Alsace,Alsace AOC,1983,"Semillon, Tempranillo",14.9,0.375,dry,5,2,91.7,82.24,Bodegas Hoareau,84
61,WN-1991-KAK-0061-PEC,red,Georgia,Kakheti,Kakheti PDO,1991,Merlot,11.7,0.75,dry,5,3,80.3,30.21,Domaine Chevalier,189
62,WN-2012-TUS-0062-OYR,red,Italy,Tuscany,Chianti Classico,2012,Zinfandel,11.2,1.5,sweet,3,4,92.9,7.96,Marani Courtois,216
63,WN-2018-BOR-0063-SP2,white,France,Bordeaux,Graves,2018,Viognier,11.6,1.5,sweet,5,5,94.2,41.19,Cantina Cousin,116
64,WN-1994-KAK-0064-7C3,white,Georgia,Kakheti,Kakheti PDO,1994,"Rkatsiteli, Chenin Blanc",13.0,1.5,dry,3,4,86.3,29.21,Domaine Techer,175
65,WN-1988-RIO-0065-6BK,red,Spain,Rioja,Rioja DOCa,1988,"Grenache, Muscadet, Cabernet Sauvignon",13.8,1.5,dry,4,3,97.5,94.41,Estate Maurice,222
66,WN-2012-TUS-0066-PU1,orange,Italy,Tuscany,Bolgheri,2012,Tempranillo,14.3,0.375,dry,3,5,87.4,77.45,Bodegas Étienne,206
67,WN-2024-BUR-0067-FWB,orange,France,Burgundy,Cote de Nuits,2024,"Merlot, Albarino",12.4,0.75,off-dry,3,1,83.6,18.61,Estate Verdier,17
68,WN-2009-KAK-0068-CPP,orange,Georgia,Kakheti,Kakheti PDO,2009,"Albarino, Sangiovese",12.6,0.75,sweet,5,1,97.7,19.78,Maison Olivier,172
69,WN-1993-RIB-0069-9BH,white,Spain,Ribera del Duero,Ribera del Duero DO,1993,"Pinot Gris, Sangiovese, Nebbiolo",11.6,1.5,sweet,5,4,90.5,34.3,Bodegas Fischer,101
70,WN-2000-KAK-0070-O0P,red,Georgia,Kakheti,Kakheti PDO,2000,Merlot,13.5,0.75,dry,2,4,90.7,26.86,Winery Muller,18
71,WN-2016-JUR-0071-PDP,red,France,Jura,Arbois,2016,"Malbec, Nebbiolo",12.4,0.75,dry,3,2,96.0,63.72,Winery Lambert,22
72,WN-2001-CHA-0072-033,white,France,Champagne,Champagne AOC,2001,Rkatsiteli,14.9,0.375,sweet,1,5,90.2,91.06,Winery Peltier,89
73,WN-1992-LOI-0073-7UW,orange,France,Loire,Sancerre,1992,Zinfandel,11.8,1.5,dry,2,4,89.3,58.55,Marani Dumas,174
74,WN-2008-PIE-0074-BNK,orange,Italy,Piedmont,Langhe,2008,Gewurztraminer,13.2,0.75,off-dry,5,1,87.0,12.05,Marani Leleu,115
75,WN-2012-BUR-0075-FCD,red,France,Burgundy,Cote de Nuits,2012,"Chenin Blanc, Muscadet",13.8,1.5,dry,4,5,93.0,35.55,Marani Charpentier,128
76,WN-1991-BEA-0076-OMV,orange,France,Beaujolais,Beaujolais-Villages,1991,Semillon,14.5,0.75,sweet,5,5,83.2,40.42,Cantina Chevalier,99
77,WN-1986-TUS-0077-8ZO,orange,Italy,Tuscany,Chianti Classico,1986,"Syrah, Pinot Noir, Riesling",14.6,1.5,sweet,2,3,81.6,68.04,Winery Rey,79
78,WN-2021-PRO-0078-8RI,white,France,Provence,Cotes de Provence,2021,"Tempranillo, Sauvignon Blanc",11.5,1.5,off-dry,5,3,80.4,34.34,Bodegas Roussel,87
79,WN-1986-KAK-0079-POY,white,Georgia,Kakheti,Kakheti PDO,1986,"Cabernet Sauvignon, Sauvignon Blanc, Grenache",14.3,1.5,dry,5,4,83.1,22.18,Domaine Gillet,184
80,WN-2008-RIA-0080-NS8,white,Spain,Rias Baixas,Rias Baixas DO,2008,Cabernet Sauvignon,12.2,0.75,dry,3,5,99.7,48.86,Cantina Lopes,199
81,WN-2021-KAK-0081-S3D,white,Georgia,Kakheti,Kakheti PDO,2021,"Sangiovese, Cabernet Sauvignon",15.7,1.5,sweet,1,3,81.7,20.23,Marani De Sousa,231
82,WN-2006-RIB-0082-ZMF,white,Spain,Ribera del Duero,Ribera del Duero DO,2006,Syrah,13.5,0.375,off-dry,1,3,84.5,35.28,Chateau Bousquet,214
83,WN-1988-VEN-0083-1IE,white,Italy,Veneto,Soave,1988,"Gewurztraminer, Chenin Blanc, Merlot",15.5,0.375,off-dry,2,2,91.0,74.09,Estate Marchal,28
84,WN-1984-RIA-0084-WIO,orange,Spain,Rias Baixas,Rias Baixas DO,1984,Gewurztraminer,14.0,0.375,sweet,5,5,84.8,18.64,Estate Goncalves,0
85,WN-1984-BEA-0085-2M0,orange,France,Beaujolais,Moulin-a-Vent,1984,"Cabernet Sauvignon, Sauvignon Blanc, Zinfandel",13.8,0.75,off-dry,1,4,99.6,29.1,Maison Lemaître,91
86,WN-2001-BUR-0086-EZ7,white,France,Burgundy,Cote de Nuits,2001,Grenache,12.8,0.75,sweet,2,4,99.6,50.46,Domaine Monnier,207
87,WN-1992-SIC-0087-M25,red,Italy,Sicily,Etna,1992,Rkatsiteli,15.7,1.5,off-dry,5,4,85.1,76.56,Bodegas Lacroix,73
88,WN-2007-TUS-0088-PP9,white,Italy,Tuscany,Chianti Classico,2007,"Chenin Blanc, Syrah",12.7,0.375,off-dry,4,3,98.5,54.33,Chateau Leconte,186
89,WN-1985-PIE-0089-9J9,white,Italy,Piedmont,Langhe,1985,"Pinot Noir, Malbec",13.2,1.5,off-dry,2,4,87.0,9.02,Winery Da Costa,157
90,WN-2012-CHA-0090-NUV,orange,France,Champagne,Champagne AOC,2012,"Albarino, Merlot, Tempranillo",15.2,1.5,off-dry,1,2,81.3,78.96,Winery Boutin,92
91,WN-2008-RIB-0091-S6E,red,Spain,Ribera del Duero,Ribera del Duero DO,2008,Muscadet,11.7,0.75,off-dry,3,3,85.0,15.78,Domaine Normand,127
92,WN-2024-RIO-0092-MCT,red,Spain,Rioja,Rioja DOCa,2024,"Chardonnay, Pinot Gris",11.7,0.375,off-dry,2,4,99.9,82.0,Winery Jourdan,170
93,WN-2012-KAK-0093-9E5,white,Georgia,Kakheti,Kakheti PDO,2012,Pinot Gris,15.9,0.375,dry,4,1,87.2,59.37,Marani Guérin,205
94,WN-2010-VEN-0094-3TV,white,Italy,Veneto,Soave,2010,"Nebbiolo, Malbec, Muscadet",11.4,0.75,sweet,1,4,89.3,54.15,Domaine Raynaud,224
95,WN-1987-RIA-0095-WTE,red,Spain,Rias Baixas,Rias Baixas DO,1987,"Tempranillo, Pinot Noir, Albarino",11.8,1.5,dry,3,5,97.9,85.36,Cantina Bousquet,50
96,WN-1990-BEA-0096-81J,white,France,Beaujolais,Beaujolais-Villages,1990,"Muscadet, Tempranillo, Albarino",14.3,1.5,sweet,3,5,80.8,87.06,Chateau Picard,11
97,WN-2011-RIA-0097-RHV,red,Spain,Rias Baixas,Rias Baixas DO,2011,"Cabernet Sauvignon, Pinot Noir, Zinfandel",13.4,1.5,off-dry,3,4,81.5,10.69,Marani Joubert,106
98,WN-1988-PIE-0098-85P,white,Italy,Piedmont,Barbaresco,1988,"Sauvignon Blanc, Cabernet Sauvignon",11.5,0.375,off-dry,1,3,89.0,18.38,Maison Chauveau,74
99,WN-1990-PIE-0099-VBK,orange,Italy,Piedmont,Langhe,1990,"Sauvignon Blanc, Chenin Blanc",13.5,0.75,off-dry,1,1,98.9,53.02,Bodegas Moulin,55
100,WN-1986-RIB-0100-KNQ,orange,Spain,Ribera del Duero,Ribera del Duero DO,1986,"Tempranillo, Riesling",14.6,0.75,off-dry,1,4,81.0,58.37,Winery Goncalves,141
101,WN-1986-TUS-0101-ELR,red,Italy,Tuscany,Brunello di Montalcino,1986,"Sangiovese, Rkatsiteli",13.8,0.75,dry,2,5,90.2,52.51,Maison Pinto,9
102,WN-2019-KAK-0102-URA,red,Georgia,Kakheti,Kakheti PDO,2019,"Albarino, Syrah",16.0,1.5,off-dry,5,3,90.1,53.42,Marani Gillet,181
103,WN-2024-CHA-0103-WW4,white,France,Champagne,Champagne AOC,2024,"Merlot, Zinfandel, Gewurztraminer",12.3,1.5,sweet,5,2,94.4,60.43,Domaine Dupuy,134
104,WN-1992-KAK-0104-40Z,orange,Georgia,Kakheti,Kakheti PDO,1992,Chenin Blanc,12.6,0.375,off-dry,2,4,90.0,63.09,Marani Riou,223
105,WN-2013-KAK-0105-R8K,red,Georgia,Kakheti,Kakheti PDO,2013,"Rkatsiteli, Albarino",13.3,1.5,off-dry,5,3,93.5,87.43,Cantina Lagarde,156
106,WN-2025-KAK-0106-938,white,Georgia,Kakheti,Kakheti PDO,2025,Gewurztraminer,12.6,0.75,sweet,3,3,82.4,69.28,Estate Pascal,229
107,WN-2025-TUS-0107-D0I,white,Italy,Tuscany,Chianti Classico,2025,Sangiovese,15.6,1.5,off-dry,4,2,84.0,56.16,Cantina Vasseur,35
108,WN-1986-KAK-0108-X1K,red,Georgia,Kakheti,Kakheti PDO,1986,"Rkatsiteli, Gewurztraminer",11.5,0.375,dry,5,2,88.1,93.83,Marani Pottier,122
109,WN-1994-BOR-0109-BKV,red,France,Bordeaux,Pauillac,1994,"Grenache, Albarino, Nebbiolo",15.4,0.375,dry,4,4,83.7,76.16,Cantina Germain,224
110,WN-2014-VEN-0110-02U,white,Italy,Veneto,Soave,2014,"Gewurztraminer, Tempranillo, Sauvignon Blanc",13.3,0.375,dry,3,2,94.6,66.59,Domaine Lecoq,3
111,WN-2012-KAK-0111-QJL,orange,Georgia,Kakheti,Kakheti PDO,2012,"Viognier, Syrah",14.3,0.375,dry,4,3,98.7,5.65,Estate Diallo,60
112,WN-2024-PRO-0112-E6K,orange,France,Provence,Cotes de Provence,2024,Grenache,14.3,0.75,off-dry,2,4,93.7,92.7,Cantina Lefèvre,176
113,WN-2010-KAK-0113-I15,white,Georgia,Kakheti,Kakheti PDO,2010,Chenin Blanc,14.7,1.5,off-dry,4,5,98.3,76.95,Bodegas Rolland,195
114,WN-1984-RIA-0114-YZR,orange,Spain,Rias Baixas,Rias Baixas DO,1984,"Pinot Gris, Grenache, Cabernet Sauvignon",15.5,0.375,sweet,5,2,83.3,86.18,Marani David,29
115,WN-1988-RIO-0115-CPZ,orange,Spain,Rioja,Rioja DOCa,1988,"Nebbiolo, Chenin Blanc, Muscadet",11.3,0.75,sweet,3,1,87.9,82.56,Bodegas Gomes,148
116,WN-1982-BOR-0116-C85,white,France,Bordeaux,Medoc,1982,"Nebbiolo, Albarino",14.8,1.5,sweet,4,3,99.9,41.34,Estate Maréchal,96
117,WN-2014-TUS-0117-NIQ,white,Italy,Tuscany,Brunello di Montalcino,2014,"Sauvignon Blanc, Tempranillo",14.6,0.375,dry,1,3,89.3,73.31,Estate Royer,136
118,WN-1982-SIC-0118-0OI,white,Italy,Sicily,Etna,1982,"Nebbiolo, Zinfandel, Merlot",12.2,0.375,dry,5,1,88.9,68.84,Maison François,62
119,WN-1994-LOI-0119-KC8,orange,France,Loire,Sancerre,1994,"Muscadet, Rkatsiteli, Malbec",14.0,1.5,off-dry,2,3,97.5,98.64,Bodegas Lecomte,105
120,WN-1983-KAK-0120-4KZ,red,Georgia,Kakheti,Kakheti PDO,1983,"Malbec, Syrah",14.9,0.75,sweet,4,4,83.0,40.76,Marani Duhamel,61
121,WN-2006-BEA-0121-JYV,white,France,Beaujolais,Moulin-a-Vent,2006,"Sauvignon Blanc, Tempranillo, Syrah",12.2,0.375,off-dry,1,4,96.9,13.78,Bodegas Wagner,13
122,WN-1993-KAK-0122-6T1,red,Georgia,Kakheti,Kakheti PDO,1993,"Pinot Noir, Merlot",12.1,0.375,sweet,1,4,98.3,71.08,Bodegas Gomes,101
123,WN-1999-RIA-0123-UHF,red,Spain,Rias Baixas,Rias Baixas DO,1999,"Sangiovese, Sauvignon Blanc",15.4,0.75,dry,4,3,98.3,40.22,Estate Lecomte,11
124,WN-1992-RIB-0124-G2G,orange,Spain,Ribera del Duero,Ribera del Duero DO,1992,"Semillon, Syrah",13.8,0.375,off-dry,5,3,85.1,83.05,Marani Bègue,117
125,WN-2013-RIO-0125-FHQ,white,Spain,Rioja,Rioja DOCa,2013,Viognier,15.7,1.5,dry,1,4,82.7,64.92,Chateau Didier,181
126,WN-1981-RIA-0126-7G7,orange,Spain,Rias Baixas,Rias Baixas DO,1981,Cabernet Sauvignon,13.8,0.375,dry,5,3,90.7,32.24,Estate Delaunay,206
127,WN-2019-KAK-0127-Y4X,orange,Georgia,Kakheti,Kakheti PDO,2019,"Riesling, Sangiovese, Malbec",15.0,0.375,off-dry,4,4,91.3,99.07,Bodegas Weiss,76
128,WN-2004-BOR-0128-996,white,France,Bordeaux,Medoc,2004,"Cabernet Sauvignon, Gewurztraminer",11.3,0.375,sweet,2,1,90.0,46.22,Winery Albert,144
129,WN-1997-KAK-0129-HF3,red,Georgia,Kakheti,Kakheti PDO,1997,Viognier,14.4,0.75,sweet,5,1,83.6,85.79,Maison Meunier,246
130,WN-2016-PRO-0130-0MD,white,France,Provence,Coteaux d'Aix,2016,Muscadet,15.2,0.75,sweet,5,3,87.7,75.28,Chateau Aubry,128
131,WN-2000-JUR-0131-VN1,red,France,Jura,Arbois,2000,Malbec,12.4,0.75,off-dry,2,3,91.1,40.67,Domaine Joly,174
132,WN-1997-KAK-0132-MJE,white,Georgia,Kakheti,Kakheti PDO,1997,Syrah,14.6,1.5,dry,4,3,87.2,13.69,Cantina Hoarau,113
133,WN-1986-RIB-0133-20U,white,Spain,Ribera del Duero,Ribera del Duero DO,1986,Viognier,12.8,0.375,sweet,5,3,97.3,6.17,Estate Vallet,99
134,WN-1988-KAK-0134-JIW,orange,Georgia,Kakheti,Kakheti PDO,1988,"Pinot Noir, Riesling",13.5,0.375,dry,4,3,88.4,51.0,Chateau Guilbert,92
135,WN-1988-KAK-0135-L8H,red,Georgia,Kakheti,Kakheti PDO,1988,"Merlot, Syrah",12.7,1.5,off-dry,3,4,86.7,82.47,Domaine Tanguy,76
136,WN-1998-KAK-0136-9G1,white,Georgia,Kakheti,Kakheti PDO,1998,"Malbec, Gewurztraminer, Muscadet",14.9,0.75,off-dry,3,4,87.3,93.55,Bodegas Charles,151
137,WN-2008-RIA-0137-NQV,orange,Spain,Rias Baixas,Rias Baixas DO,2008,"Viognier, Nebbiolo",14.4,0.375,sweet,3,2,85.1,19.64,Estate Letellier,202
138,WN-2014-RIA-0138-XB9,orange,Spain,Rias Baixas,Rias Baixas DO,2014,Sangiovese,14.5,1.5,sweet,1,1,95.4,67.47,Winery Mary,42
139,WN-1986-RIB-0139-O1V,orange,Spain,Ribera del Duero,Ribera del Duero DO,1986,Pinot Gris,12.3,1.5,sweet,5,5,91.6,59.65,Marani Gilbert,95
140,WN-2010-KAK-0140-RRP,orange,Georgia,Kakheti,Kakheti PDO,2010,Pinot Noir,13.1,0.375,dry,2,3,86.2,48.26,Bodegas Guillon,133
141,WN-1999-RIB-0141-FU8,white,Spain,Ribera del Duero,Ribera del Duero DO,1999,Pinot Gris,11.1,0.75,sweet,1,2,98.6,75.35,Domaine Alexandre,141
142,WN-1991-RIA-0142-13C,white,Spain,Rias Baixas,Rias Baixas DO,1991,"Nebbiolo, Syrah, Merlot",14.7,0.375,off-dry,5,4,87.8,71.95,Bodegas Étienne,71
143,WN-1992-KAK-0143-MQG,orange,Georgia,Kakheti,Kakheti PDO,1992,"Pinot Gris, Riesling",14.4,0.75,sweet,3,5,87.8,42.29,Chateau Vasseur,89
144,WN-1988-TUS-0144-GWY,orange,Italy,Tuscany,Bolgheri,1988,"Pinot Gris, Semillon",12.5,0.375,off-dry,2,5,87.8,61.66,Estate Dos Santos,108
145,WN-1998-KAK-0145-NUX,red,Georgia,Kakheti,Kakheti PDO,1998,Albarino,12.6,0.75,sweet,1,3,99.0,51.04,Bodegas Grégoire,208
146,WN-2011-RIB-0146-01T,white,Spain,Ribera del Duero,Ribera del Duero DO,2011,Viognier,13.8,0.375,off-dry,1,3,84.5,32.42,Marani Teixeira,144
147,WN-2014-PRO-0147-5D5,white,France,Provence,Cotes de Provence,2014,Chenin Blanc,13.7,0.75,dry,2,3,97.5,8.06,Cantina Robin,89
148,WN-2025-KAK-0148-9KU,orange,Georgia,Kakheti,Kakheti PDO,2025,"Malbec, Nebbiolo, Albarino",14.1,0.375,dry,1,5,87.0,31.7,Domaine Faivre,82
149,WN-1983-LOI-0149-FWW,red,France,Loire,Chinon,1983,"Malbec, Tempranillo",14.5,0.375,dry,2,3,96.6,77.34,Estate Rousseau,125
150,WN-2005-RIO-0150-CTH,red,Spain,Rioja,Rioja DOCa,2005,"Riesling, Sangiovese, Chenin Blanc",15.8,0.75,sweet,1,1,94.6,48.55,Winery Masson,217
151,WN-2000-KAK-0151-E4P,white,Georgia,Kakheti,Kakheti PDO,2000,"Rkatsiteli, Cabernet Sauvignon",13.9,1.5,off-dry,3,1,80.9,64.49,Marani Brunet,4
